"ans_id","ans_libelle","ans_date_debut","ans_date_fin"
"1","2024-2025","2024-09-01","2025-08-31"
"2","2023-2024","2023-09-01","2024-08-31"
"3","2022-2023","2022-09-01","2023-08-31"
"4","2025-2026","2025-09-01","2026-08-31"
"5","2021-2022","2021-09-01","2022-08-31"
"6","2020-2021","2020-09-01","2021-08-31"
"7","2019-2020","2019-09-01","2020-08-31"
"8","2018-2019","2018-09-01","2019-08-31"
"9","2017-2018","2017-09-01","2018-08-31"
"10","2016-2017","2016-09-01","2017-08-31"
"11","2015-2016","2015-09-01","2016-08-31"
"12","2014-2015","2014-09-01","2015-08-31"
"13","2013-2014","2013-09-01","2014-08-31"
"14","2012-2013","2012-09-01","2013-08-31"
"15","2011-2012","2011-09-01","2012-08-31"
"16","2010-2011","2010-09-01","2011-08-31"
